DEBUG : 2015-04-20 11:30:31,753 file opened successfully
DEBUG : 2015-04-20 11:30:31,792 trying to open file ../../../KPI Reports\Draft\Mobile\HR\2015_04\RA_HR_MOB_Postpaid_2015_04.xlsm
DEBUG : 2015-04-20 11:30:37,944 file opened successfully
DEBUG : 2015-04-20 11:30:38,292 trying to open file ../../../KPI Reports\Draft\Mobile\HR\2015_04\RA_HR_MOB_Prepaid_2015_04.xlsm
DEBUG : 2015-04-20 11:30:39,644 file opened successfully
DEBUG : 2015-04-20 11:30:39,980 trying to open file ../../../KPI Reports\Draft\Mobile\NO\March 2015\RA_NO_MOB_Postpaid_2015_03.xlsm
DEBUG : 2015-04-20 11:30:43,145 file opened successfully
DEBUG : 2015-04-20 11:30:43,315 trying to open file ../../../Monitoring\Netherlands\0420_0000_RA_NL_MOB_Postpaid_SV_2015_04.xlsm
DEBUG : 2015-04-20 11:30:46,338 file opened successfully
DEBUG : 2015-04-20 11:30:46,582 trying to open file ../../../Monitoring\Netherlands\0420_0918_RA_NL_MOB_Prepaid_2015_04.xlsm
DEBUG : 2015-04-20 11:30:48,190 file opened successfully
DEBUG : 2015-04-20 11:30:48,200 trying to open file ../../../Monitoring\Netherlands\0420_1405_RA_NL_MOB_Postpaid_CBS_2015_04.xlsm
DEBUG : 2015-04-20 11:30:55,575 file opened successfully
DEBUG : 2015-04-20 11:30:55,648 trying to open file ../../../Monitoring\Netherlands\updating_RA_NL_MOB_Postpaid_SV_2015_04.xlsm
DEBUG : 2015-04-20 11:30:58,767 file opened successfully
DEBUG : 2015-04-20 11:30:58,926 trying to open file ../../../Monitoring\Netherlands\~$0420_0000_RA_NL_MOB_Postpaid_SV_2015_04.xlsm
WARNING : 2015-04-20 11:30:58,927 cannot open and search file with excel
DEBUG : 2015-04-20 11:30:59,164 trying to open file ../../../Monitoring\Netherlands\~$0420_0918_RA_NL_MOB_Prepaid_2015_04.xlsm
WARNING : 2015-04-20 11:30:59,165 cannot open and search file with excel
DEBUG : 2015-04-20 11:30:59,381 trying to open file ../../../Monitoring\Netherlands\~$updating_RA_NL_MOB_Postpaid_SV_2015_04.xlsm
WARNING : 2015-04-20 11:30:59,382 cannot open and search file with excel
DEBUG : 2015-04-20 11:30:59,625 trying to open file ../../../KPI Reports\Draft\Mobile\EE\April 2015\RA_EE_MOB_Postpaid_2015_04.xlsm
DEBUG : 2015-04-20 11:31:02,825 file opened successfully
DEBUG : 2015-04-20 11:31:03,088 trying to open file ../../../KPI Reports\Draft\Mobile\EE\April 2015\RA_EE_MOB_Prepaid_2015_04.xlsm
WARNING : 2015-04-20 11:31:04,750 cannot open and search file with excel
INFO : 2015-04-20 11:34:05,726  started to run with arguments['G:\\RevenueAssurance\\Monitoring\\Croatia\\CommentGatherer\\getComments.py']
INFO : 2015-04-20 11:34:06,177 adding to list  ../../../Monitoring\Netherlands\0420_0000_RA_NL_MOB_Postpaid_SV_2015_04.xlsm
